Compound Number,GroupID,GroupMembers,row ID,row m/z,row retention time,Dta-ap,Dbh-w,Dax-tl,Dgr-ap,Dfe-w,Dgem-w,Dgi-w,Dac-tl,Dyu-w,Dau-tl,Dre-tl,Dpa-tl,Dpe-w,Dat-ls,Dki-w,Dho-w,Dde-w,Dod-fr,Dod-b,Dod-l,Dod-r,Dod-s,Dje-fr,Dje-ft,Dge-fr,Dps-fr,Dps-ft,Dpo-fr,Dpo-l,Dpo-s,Wdo-w,Wla-w,Wsc-w,Wpi-w,Wli-w,Wpa-w,Win-l,Win-s,Wca-w,Wal-w,Wli-ap,Wli-r,Wst-w,Wnu-w,Wlu-w,Wmi-tl,Wde-w,Wtr,Ega-w,Eal-w,Ech-ft,Ech-b,Ech-l,Ech-s,Ech-fr,Sch-r,D Score,MD Score,type,elemental composition,identification,same composition,adduct ion,same peak,IHD,A part,B part,C part,C-12,C-18,olefinic position,M part,Sub No.,Sub Carbon,Sub_An,Acyl part,Correct Acyl part,A_id,B_id,C_id,M_id,R1_id,R2_id,R3_id,R4_id,R5_id,R6_id,R7_id,R8_id,Aglycone Type,Annotation SMILES,Annotation ID,Annotation Formula,Annotation MW,Top K,confidence score,Confidence Level
123,243,[6888],6888,608.401,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343284.5044,0,0,0,0,0,0,2513142.637,0,0,0,0,0,0,0,0,0,16,0,D,C30H57O11N1,possibly undescribed,none,[M+NH4]+,none,3,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C10,C10*1,"benzoyl(0.51),feruloyl(0.20),benzoyl(0.64)",feruloyl,A1,B1,C1,none,R95,none,none,,,,,,A1B1C1,OCC12OC1C1C3OC4(C=Cc6c(OC)c(O)ccc6)OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00007659,C30H34O10,554.592,Top2,0.854,Low Confidence
124,271,[9654],9654,371.1861,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,D,C22H26O5,possibly undescribed,none,[M+H]+,none,10,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C2,C2*1,"acyl(0.55),butenoyl(0.08)",acyl,A1,B1,C1,none,R1,none,none,,,,,,A1B1C1,OCC12OC1C1C3OC4(C)OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00007565,C22H28O8,420.458,Top2,0.855,Low Confidence
125,410,[8050],8050,679.2752,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520890.5842,0,2281835.902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,D,C37H42O12,possibly undescribed,none,[M+H]+,none,17,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",with C-12,no C-18,others,others,2,"C7,C10",C10*1+C7*1,benzoyl(0.22),"benzoyl,benzoyl",A1,B1,C2,none,R92,R92,none,,,,,,A1B1C2,OCC12OC1C1C3OC4(c6ccccc6)OC3(C(=C)C)C(OC(=O)c7ccccc7)C(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00129710,C34H34O10,602.636,Top1,1,Low Confidence
126,467,[3466],3466,311.1642,4.5,0,0,0,0,212363.205,0,0,0,0,583759.9172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445560.4641,48000000,0,591545.2021,2939494.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,D,C20H22O3,possibly undescribed,none,[M+H]+,none,10,"1,2-en-3-one","5-ol-6,7-diol","9,13,14-orthoester",no C-12,no C-18,others,others,1,C0,C0*1,butanoyl/isobutyryl(0.12),none,A1,B2,C1,none,none,none,none,,,,,,A1B2C1,OCC1(O)C(O)C2C3OC4OC3(C(=C)C)CC(C)C2(O4)C2C=C(C)C(=O)C2(O)C1O,PD00000081,C21H28O9,424.446,Top1,1,Low Confidence
127,473,[4727],4727,473.29,4.5,0,0,0,0,0,0,0,0,0,495299.7377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488776.7973,3369472.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,D,C28H40O6,possibly undescribed,none,[M+H]+,none,9,"1,2-en-3-one","5-ol-6,7-ene","9,13,14-orthoester",no C-12,no C-18,others,others,1,C8,C8*1,octanoyl(0.11),octanoyl,A1,B3,C1,none,R7,none,none,,,,,,A1B3C1,OCC1=CC2C3OC4(CCCCCCC)OC3(C(=C)C)CC(C)C2(O4)C2C=C(C)C(=O)C2(O)C1O,PD00009491,C28H40O7,488.621,Top1,1,Low Confidence
128,589,[2464],2464,625.2311,4.5,0,0,0,0,0,0,592074.6951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,D,C8H48O30,possibly undescribed,none,[M+H]+,none,-15,"1,2-en-3-ol","5-ol-6,7-epoxy","9,13,14-orthoester",with C-12,no C-18,others,others,0,others,,benzoyl(0.14),none,A3,B1,C2,none,none,none,none,,,,,,A3B1C2,OCC12OC1C1C3OC4OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(O)C1(O)C2O,PD00000008,C21H28O8,408.447,Top1,1,Low Confidence
129,686,[11895],11895,603.2443,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1480040.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,D,C31H38O12,possibly undescribed,none,[M+H]+,none,13,"1,2-dihydro-3-ol","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C11,C11*1,benzoyl(0.07),none,A4,B1,C1,none,none,none,none,,,,,,A4B1C1,OCC12OC1C1C3OC4OC3(C(=C)C)CC(C)C1(O4)C1CC(C)C(O)C1(O)C2O,PD00000004,C21H30O8,410.463,Top1,1,Low Confidence
130,78,[1080],1080,483.2018,4.6,343000000,0,36700000,58500000,0,9872199.974,209000000,5244105.065,8367403.419,2903505.897,289000000,0,0,0,0,0,0,0,0,0,0,0,0,0,23600000,0,0,0,0,0,0,23200000,30000000,0,138000000,0,0,0,0,0,0,0,0,0,5818420.362,0,18300000,0,0,0,0,0,0,0,0,0,14,0,D,C27H30O8,possibly known,(DA01)std_daphnetoxin,[M+H]+,none,13,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C7,C7*1,"benzoyl(2.78),feruloyl(4.18),benzoyl(13.00)",benzoyl,A1,B1,C1,none,R92,none,none,,,,,,A1B1C1,OCC12OC1C1C3OC4(c6ccccc6)OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00007656,C27H30O8,482.529,Top1,1,High Confidence
131,139,[2567],2567,499.1961,4.6,0,0,0,0,0,0,175385.7282,0,0,0,3603092.657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,D,C27H30O9,possibly known,12-OH-daphnetoxin,[M+H]+,none,13,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C7,C7*1,decatrienoyl(0.03),benzoyl,A1,B1,C1,none,R92,none,none,,,,,,A1B1C1,OCC12OC1C1C3OC4(c6ccccc6)OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00007656,C27H30O8,482.529,Top1,1,Low Confidence
132,161,[3501],3501,389.1958,4.6,0,0,0,0,159062.3834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,D,C22H28O6,possibly undescribed,none,[M+H]+,none,9,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,"2,4-olefinic",others,1,C2,C2*1,"acyl(0.94),pentenoyl(0.12)",acyl,A1,B1,C1,none,R1,none,none,,,,,,A1B1C1,OCC12OC1C1C3OC4(C)OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00007565,C22H28O8,420.458,Top2,0.957,Low Confidence
133,369,[3233],3233,705.2912,4.6,0,232174.0801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997105.962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,D,C39H44O12,possibly undescribed,none,[M+H]+,none,18,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",with C-12,no C-18,"2,4-olefinic",others,2,"C9,C10",C9*1+C10*1,coumaroyl(0.34),"coumaroyl,coumaroyl",A1,B1,C2,none,R94,R94,none,,,,,,A1B1C2,OCC12OC1C1C3OC4(C=Cc6ccc(O)cc6)OC3(C(=C)C)C(OC(=O)C=Cc7ccc(O)cc7)C(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00129719,C38H38O12,686.71,Top1,1,Low Confidence
134,442,[9084],9084,617.2567,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769466.4207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330625.4425,0,0,0,0,0,0,0,0,0,6,0,D,C14H48O25,possibly undescribed,none,[M+H]+,none,-9,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",with C-12,no C-18,"2,4-olefinic",others,0,others,,decadienoyl(0.15),none,A1,B1,C2,none,none,none,none,,,,,,A1B1C2,OCC12OC1C1C3OC4OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00000006,C21H26O8,406.431,Top2,0.436,Low Confidence
135,453,[9727],9727,603.2794,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090238.474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,D,C32H42O11,possibly undescribed,none,[M+H]+,none,12,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",with C-12,no C-18,others,others,2,"C2,C10",C2*1+C10*1,decatrienoyl(0.83),"acyl,decatrienoyl",A1,B1,C2,none,R1,R48,none,,,,,,A1B1C2,OCC12OC1C1C3OC4(C)OC3(C(=C)C)C(OC(=O)C=CC=CC=CCCC)C(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00125116,C32H40O10,584.662,Top1,1,Low Confidence
136,90,"[1316,2127]",1316,681.291,4.7,3602446.202,2078425.823,1497185.452,0,714606.9839,0,24700000,1548289.543,4133314.472,0,4918563.441,2384451.101,0,242992.2369,0,0,11300000,0,0,0,1201156.417,676387.9913,0,0,742332.7938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,D,C37H44O12,possibly known,tanguticanine D,[M+H]+,"1316, 2127",16,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,"2,4-olefinic",others,2,"C7,C10",C10*1+C7*1,"benzoyl(0.09),feruloyl(0.08),benzoyl(0.54)","feruloyl,benzoyl",A1,B1,C1,none,R95,R92,none,,,,,,A1B1C1,c7cc(O)c(OC)cc7C=CC(=O)OCC12OC1C1C3OC4(c6ccccc6)OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00269393,C37H38O11,658.7,Top2,0.564,Low Confidence
137,279,[9787],9787,601.3372,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138606.624,715965.7606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,D,C34H48O9,possibly undescribed,none,[M+H]+,none,11,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C14,C14*1,others,none,A1,B1,C1,none,none,none,none,,,,,,A1B1C1,OCC12OC1C1C3OC4OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00000001,C21H26O8,406.431,Top1,1,Low Confidence
138,215,[5054],5054,463.2321,4.8,0,0,0,0,0,0,0,0,0,0,3252177.869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,D,C25H34O8,possibly undescribed,none,[M+H]+,none,9,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C5,C5*1,6-hydroxy-2-4-heptadienoyl(0.03),2-methylbutyryl,A1,B1,C1,none,R4,none,none,,,,,,A1B1C1,OCC12OC1C1C3OC4(CCCC)OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00007568,C25H34O8,462.539,Top2,0.117,High Confidence
139,392,[5124],5124,629.2375,4.8,0,0,0,1276793.326,0,0,0,0,0,0,312198.7789,0,0,0,0,0,275311.6616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,D,C36H36O10,possibly known,gnidicin,[M+H]+,none,19,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",with C-12,no C-18,others,others,2,"C7,C9",C9*1+C7*1,cinnamoyl(0.54),"benzoyl,cinnamoyl",A1,B1,C2,none,R92,R93,none,,,,,,A1B1C2,OCC12OC1C1C3OC4(c6ccccc6)OC3(C(=C)C)C(OC(=O)C=Cc7ccccc7)C(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00129711,C36H36O10,628.674,Top1,1,High Confidence
140,441,[9071],9071,594.2895,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492279.8506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,D,C30H43O11N1,possibly undescribed,none,[M+NH4]+,none,10,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",with C-12,no C-18,others,others,1,C10,C10*1,others,none,A1,B1,C2,none,none,none,none,,,,,,A1B1C2,OCC12OC1C1C3OC4OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00000006,C21H26O8,406.431,Top1,1,Low Confidence
141,576,[6293],6293,591.2597,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2756310.141,0,0,0,0,0,0,0,0,0,4913937.87,0,0,0,0,0,259329.7665,927147.0554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,D,C34H38O9,possibly undescribed,"(DA08)std_genkwanine M isomer, (DA07)std_genkwanine N isomer",[M+H]+,none,16,"1,2-en-3-ol","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,2,C7,C7*2,"benzoyl(0.26),feruloyl(0.10),benzoyl(0.57)","benzoyl,benzoyl",A3,B1,C1,none,R92,R92,none,,,,,,A3B1C1,OCC12OC1C1C3OC4(c6ccccc6)OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(OC(=O)c7ccccc7)C1(O)C2O,PD00017966,C34H36O9,588.653,Top2,0.9,Low Confidence
142,647,[6375],6375,469.2225,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1914046.587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210474.8695,0,0,0,0,1700237.807,0,0,0,0,0,0,0,0,0,9,0,D,C27H32O7,possibly undescribed,none,[M+H]+,none,12,"1,2-dihydro-3-ol","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C7,C7*1,"benzoyl(0.04),feruloyl(0.04),benzoyl(0.09)",benzoyl,A4,B1,C1,none,R92,none,none,,,,,,A4B1C1,OCC12OC1C1C3OC4(c6ccccc6)OC3(C(=C)C)CC(C)C1(O4)C1CC(C)C(O)C1(O)C2O,PD00007944,C27H34O8,486.561,Top1,1,Low Confidence
143,188,[3863],3863,683.3064,4.9,0,0,0,0,0,0,0,0,0,0,0,0,567901.0382,0,0,0,0,0,0,0,5134694.933,1006559.534,0,0,2691817.771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,D,C37H46O12,possibly undescribed,none,[M+H]+,none,15,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,"2,4-olefinic",others,2,"C7,C10",C10*1+C7*1,"benzoyl(0.08),feruloyl(0.03),benzoyl(0.33)","feruloyl,benzoyl",A1,B1,C1,none,R95,R92,none,,,,,,A1B1C1,c7cc(O)c(OC)cc7C=CC(=O)OCC12OC1C1C3OC4(c6ccccc6)OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00269393,C37H38O11,658.7,Top2,0.554,Low Confidence
144,329,"[1711,2417]",1711,681.2912,4.9,2381237.638,1177675.962,1204876.676,17700000,0,0,1128369.177,202270.6132,3069791.988,0,4130386.642,2027253.143,0,0,0,0,0,0,0,0,655418.696,1622138.175,0,0,408312.8831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,D,C37H44O12,possibly known,tanguticanine D,[M+H]+,"1711, 2417",16,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",with C-12,no C-18,others,others,2,"C7,C10",C10*1+C7*1,"benzoyl(0.05),feruloyl(0.04),benzoyl(0.29)","feruloyl,benzoyl",A1,B1,C2,none,R95,R92,none,,,,,,A1B1C2,OCC12OC1C1C3OC4(c6ccccc6)OC3(C(=C)C)C(OC(=O)C=Cc7c(OC)c(O)ccc7)C(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00129713,C37H38O12,674.699,Top1,1,Low Confidence
145,479,[6505],6505,481.1858,4.9,0,0,0,998626.3011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,D,C27H28O8,possibly undescribed,none,[M+H]+,none,14,"1,2-en-3-one","5-ol-6,7-ene","9,13,14-orthoester",no C-12,no C-18,others,others,1,C7,C7*1,"benzoyl(0.04),benzoyl(0.16)",benzoyl,A1,B3,C1,none,R92,none,none,,,,,,A1B3C1,OCC1=CC2C3OC4(c6ccccc6)OC3(C(=C)C)CC(C)C2(O4)C2C=C(C)C(=O)C2(O)C1O,PD00009576,C27H30O7,466.53,Top2,0.777,Low Confidence
146,506,[962],962,485.2177,4.9,150000000,0,0,2878901.599,0,3208524.501,294000000,1200000000,8603032.67,0,358000000,0,0,8099640.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2644398.384,14500000,0,44900000,0,0,0,0,1650710.591,0,1527120.892,0,2169304.515,2015660.014,0,1138803.783,0,0,0,0,0,0,0,0,0,6,0,D,C27H32O8,possibly known,daphne factor F4,[M+H]+,none,12,"1,2-dihydro-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C7,C7*1,benzoyl(0.75),benzoyl,A2,B1,C1,none,R92,none,none,,,,,,A2B1C1,OCC12OC1C1C3OC4(c6ccccc6)OC3(C(=C)C)CC(C)C1(O4)C1CC(C)C(=O)C1(O)C2O,PD00007752,C27H32O8,484.545,Top1,1,High Confidence
147,575,[6259],6259,609.2694,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6172576.631,0,0,0,0,0,0,0,2521249.33,0,582884.8831,0,0,0,0,0,899627.0144,17000000,0,0,1002131.316,0,35100000,0,0,0,0,0,0,0,0,0,14,0,D,C34H40O10,possibly undescribed,(DA12)std_genkwanine H isomer,[M+H]+,none,15,"1,2-en-3-ol","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,"2,4-olefinic",others,2,C7,C7*2,"benzoyl(0.86),feruloyl(0.24),benzoyl(2.70)","benzoyl,benzoyl",A3,B1,C1,none,R92,R92,none,,,,,,A3B1C1,OCC12OC1C1C3OC4(c6ccccc6)OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(OC(=O)c7ccccc7)C1(O)C2O,PD00017966,C34H36O9,588.653,Top2,0.997,Low Confidence
148,634,[4049],4049,669.3283,4.9,0,0,0,0,0,0,0,0,0,0,0,0,231715.0808,0,0,0,0,0,0,0,0,0,0,0,1333611.424,0,0,0,0,0,0,0,0,0,0,0,0,558986.7079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,D,C12H60O29,possibly known,stellejasmin B,[M+H]+,none,-17,"1,2-dihydro-3-ol","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C-8,C-8*1,"benzoyl(0.09),feruloyl(0.04),benzoyl(0.32),tetradecenoyl(0.01)",none,A4,B1,C1,none,none,none,none,,,,,,A4B1C1,OCC12OC1C1C3OC4OC3(C(=C)C)CC(C)C1(O4)C1CC(C)C(O)C1(O)C2O,PD00000004,C21H30O8,410.463,Top1,1,Low Confidence
149,659,[11576],11576,573.2477,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484987.9525,0,5558105.935,0,0,0,0,0,0,0,0,0,7,0,D,C34H36O8,possibly undescribed,none,[M+H]+,none,17,"1,2-dihydro-3-ol","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,2,C7,C7*2,"acyl(0.05),benzoyl(0.13),feruloyl(0.03),benzoyl(1.00)","benzoyl,benzoyl",A4,B1,C1,none,R92,R92,none,,,,,,A4B1C1,OCC12OC1C1C3OC4(c6ccccc6)OC3(C(=C)C)CC(C)C1(O4)C1CC(C)C(OC(=O)c7ccccc7)C1(O)C2O,PD00022622,C34H38O9,590.669,Top1,1,Low Confidence
150,688,[11900],11900,559.2905,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280594.746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,D,C31H42O9,possibly undescribed,none,[M+H]+,none,11,"1,2-dihydro-3-ol","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C11,C11*1,"benzoyl(0.05),feruloyl(0.03),benzoyl(0.03)",none,A4,B1,C1,none,none,none,none,,,,,,A4B1C1,OCC12OC1C1C3OC4OC3(C(=C)C)CC(C)C1(O4)C1CC(C)C(O)C1(O)C2O,PD00000004,C21H30O8,410.463,Top1,1,Low Confidence
151,100,[1750],1750,501.2125,5,0,0,0,0,0,0,0,234240.4622,0,0,2393119.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,D,C27H32O9,possibly known,daphnegiraldigin,[M+H]+,none,12,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C7,C7*1,decatrienoyl(0.02),benzoyl,A1,B1,C1,none,R92,none,none,,,,,,A1B1C1,OCC12OC1C1C3OC4(c6ccccc6)OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00007656,C27H30O8,482.529,Top3,0.1,Low Confidence
152,190,[3935],3935,549.3066,5,0,0,0,0,0,0,0,0,0,0,0,0,314788.4371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470267.8495,0,0,0,0,0,0,0,3974105.415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,D,C30H44O9,possibly undescribed,none,[M+H]+,none,9,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C10,C10*1,decenoyl(0.02),decenoyl,A1,B1,C1,none,R24,none,none,,,,,,A1B1C1,OCC12OC1C1C3OC4(C=CCCCCCCC)OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00007588,C30H42O8,530.658,Top1,1,Low Confidence
153,268,[8990],8990,594.2897,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2357457.388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,D,C30H43O11N1,possibly undescribed,none,[M+NH4]+,none,10,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C10,C10*1,others,none,A1,B1,C1,none,none,none,none,,,,,,A1B1C1,OCC12OC1C1C3OC4OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00000001,C21H26O8,406.431,Top2,0.176,Low Confidence
154,478,[6294],6294,311.1637,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6467397.994,0,0,0,0,0,0,0,0,0,0,2811849.984,1171306.436,0,0,0,0,302896.9965,0,0,0,0,0,0,0,0,0,17,0,D,C20H22O3,possibly undescribed,none,[M+H]+,none,10,"1,2-en-3-one","5-ol-6,7-ene","9,13,14-orthoester",no C-12,no C-18,others,others,1,C0,C0*1,6-7-epoxy-2-4-octadienoyl(0.05),none,A1,B3,C1,none,none,none,none,,,,,,A1B3C1,OCC1=CC2C3OC4OC3(C(=C)C)CC(C)C2(O4)C2C=C(C)C(=O)C2(O)C1O,PD00000041,C21H26O7,390.432,Top1,1,Low Confidence
155,557,[767],767,485.2179,5,0,0,0,0,0,0,0,455155.3104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1581988.516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,D,C27H32O8,possibly known,daphne factor F4,[M+H]+,none,12,"1,2-en-3-ol","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C7,C7*1,benzoyl(0.13),benzoyl,A3,B1,C1,none,R92,none,none,,,,,,A3B1C1,OCC12OC1C1C3OC4(c6ccccc6)OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(O)C1(O)C2O,PD00007848,C27H32O8,484.545,Top1,1,High Confidence
